,SQ00015145,SQ00015143,SQ00015201,SQ00015142,SQ00015144
Cytoplasm_Intensity_StdIntensityEdge_Mito,0,0,0,0,0
Cytoplasm_Intensity_StdIntensityEdge_RNA,0,0,0,0,0
Cytoplasm_Intensity_StdIntensity_AGP,0,0,0,0,0
Cytoplasm_Intensity_StdIntensity_DNA,0,0,0,0,0
Cytoplasm_Intensity_StdIntensity_ER,0,1,0,0,0
Cytoplasm_Intensity_StdIntensity_Mito,0,0,0,0,0
Cytoplasm_Intensity_StdIntensity_RNA,0,0,0,0,0
Cytoplasm_Intensity_UpperQuartileIntensity_AGP,0,0,0,0,0
Cytoplasm_Intensity_UpperQuartileIntensity_DNA,0,0,0,0,0
Cytoplasm_Intensity_UpperQuartileIntensity_ER,0,0,0,0,0
Cytoplasm_Intensity_UpperQuartileIntensity_Mito,0,0,0,0,0
Cytoplasm_Intensity_UpperQuartileIntensity_RNA,0,0,0,0,0
Cytoplasm_Location_CenterMassIntensity_X_AGP,0,0,0,0,0
Cytoplasm_Location_CenterMassIntensity_X_DNA,0,0,0,0,0
Cytoplasm_Location_CenterMassIntensity_X_ER,0,0,0,0,0
Cytoplasm_Location_CenterMassIntensity_X_Mito,0,0,0,0,0
Cytoplasm_Location_CenterMassIntensity_X_RNA,0,0,0,0,0
Cytoplasm_Location_CenterMassIntensity_Y_AGP,0,0,0,0,0
Cytoplasm_Location_CenterMassIntensity_Y_DNA,0,0,0,0,0
Cytoplasm_Location_CenterMassIntensity_Y_ER,0,0,0,0,0
Cytoplasm_Location_CenterMassIntensity_Y_Mito,0,0,0,0,0
Cytoplasm_Location_CenterMassIntensity_Y_RNA,0,0,0,0,0
Cytoplasm_Location_Center_X,0,0,0,0,0
Cytoplasm_Location_Center_Y,0,0,0,0,0
Cytoplasm_Location_MaxIntensity_X_AGP,0,0,0,0,0
Cytoplasm_Location_MaxIntensity_X_DNA,0,0,0,0,0
Cytoplasm_Location_MaxIntensity_X_ER,0,0,0,0,0
Cytoplasm_Location_MaxIntensity_X_Mito,0,0,0,0,0
Cytoplasm_Location_MaxIntensity_X_RNA,0,0,0,0,0
Cytoplasm_Location_MaxIntensity_Y_AGP,0,0,0,0,0
Cytoplasm_Location_MaxIntensity_Y_DNA,0,0,0,0,0
Cytoplasm_Location_MaxIntensity_Y_ER,0,0,0,0,0
Cytoplasm_Location_MaxIntensity_Y_Mito,0,0,0,0,0
Cytoplasm_Location_MaxIntensity_Y_RNA,0,0,0,0,0
Cytoplasm_Number_Object_Number,0,0,0,0,0
Cytoplasm_Parent_Cells,0,0,0,0,0
Cytoplasm_Parent_Nuclei,0,0,0,0,0
Cytoplasm_RadialDistribution_FracAtD_AGP_1of4,0,1,0,1,1
Cytoplasm_RadialDistribution_FracAtD_AGP_2of4,0,0,0,0,0
Cytoplasm_RadialDistribution_FracAtD_AGP_3of4,0,0,0,0,0
Cytoplasm_RadialDistribution_FracAtD_AGP_4of4,1,1,0,1,1
Cytoplasm_RadialDistribution_FracAtD_DNA_1of4,0,0,0,0,0
Cytoplasm_RadialDistribution_FracAtD_DNA_2of4,0,0,0,0,0
Cytoplasm_RadialDistribution_FracAtD_DNA_3of4,0,0,0,0,0
Cytoplasm_RadialDistribution_FracAtD_DNA_4of4,0,0,0,0,0
Cytoplasm_RadialDistribution_FracAtD_ER_1of4,0,0,0,0,0
Cytoplasm_RadialDistribution_FracAtD_ER_2of4,0,0,0,0,0
Cytoplasm_RadialDistribution_FracAtD_ER_3of4,0,0,0,0,0
Cytoplasm_RadialDistribution_FracAtD_ER_4of4,0,0,0,0,0
Cytoplasm_RadialDistribution_FracAtD_Mito_1of4,0,0,1,0,0
Cytoplasm_RadialDistribution_FracAtD_Mito_2of4,0,0,0,0,0
Cytoplasm_RadialDistribution_FracAtD_Mito_3of4,0,0,0,0,0
Cytoplasm_RadialDistribution_FracAtD_Mito_4of4,0,0,1,0,0
Cytoplasm_RadialDistribution_FracAtD_RNA_1of4,0,0,0,0,0
Cytoplasm_RadialDistribution_FracAtD_RNA_2of4,0,0,0,0,0
Cytoplasm_RadialDistribution_FracAtD_RNA_3of4,0,0,0,0,0
Cytoplasm_RadialDistribution_FracAtD_RNA_4of4,0,0,0,0,0
Cytoplasm_RadialDistribution_MeanFrac_AGP_1of4,0,0,0,0,0
Cytoplasm_RadialDistribution_MeanFrac_AGP_2of4,0,0,0,0,0
Cytoplasm_RadialDistribution_MeanFrac_AGP_3of4,0,0,0,0,1
Cytoplasm_RadialDistribution_MeanFrac_AGP_4of4,0,0,0,0,0
Cytoplasm_RadialDistribution_MeanFrac_DNA_1of4,0,0,0,0,0
Cytoplasm_RadialDistribution_MeanFrac_DNA_2of4,0,0,0,0,0
Cytoplasm_RadialDistribution_MeanFrac_DNA_3of4,0,0,0,0,0
Cytoplasm_RadialDistribution_MeanFrac_DNA_4of4,0,0,0,0,0
Cytoplasm_RadialDistribution_MeanFrac_ER_1of4,1,1,1,1,1
Cytoplasm_RadialDistribution_MeanFrac_ER_2of4,0,0,0,0,0
Cytoplasm_RadialDistribution_MeanFrac_ER_3of4,0,0,0,0,0
Cytoplasm_RadialDistribution_MeanFrac_ER_4of4,0,0,0,0,0
Cytoplasm_RadialDistribution_MeanFrac_Mito_1of4,0,1,0,0,0
Cytoplasm_RadialDistribution_MeanFrac_Mito_2of4,0,0,0,0,0
Cytoplasm_RadialDistribution_MeanFrac_Mito_3of4,0,0,0,0,0
Cytoplasm_RadialDistribution_MeanFrac_Mito_4of4,1,1,0,1,1
Cytoplasm_RadialDistribution_MeanFrac_RNA_1of4,0,0,0,0,0
Cytoplasm_RadialDistribution_MeanFrac_RNA_2of4,0,0,0,0,0
Cytoplasm_RadialDistribution_MeanFrac_RNA_3of4,0,0,0,0,0
Cytoplasm_RadialDistribution_MeanFrac_RNA_4of4,0,0,0,0,0
Cytoplasm_RadialDistribution_RadialCV_AGP_1of4,0,0,0,0,0
Cytoplasm_RadialDistribution_RadialCV_AGP_2of4,1,0,0,0,0
Cytoplasm_RadialDistribution_RadialCV_AGP_3of4,0,0,0,0,0
Cytoplasm_RadialDistribution_RadialCV_AGP_4of4,1,1,1,1,1
Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,0,0,0,0,0
Cytoplasm_RadialDistribution_RadialCV_DNA_2of4,0,0,0,0,0
Cytoplasm_RadialDistribution_RadialCV_DNA_3of4,1,1,0,0,1
Cytoplasm_RadialDistribution_RadialCV_DNA_4of4,1,1,1,1,1
Cytoplasm_RadialDistribution_RadialCV_ER_1of4,0,0,0,0,0
Cytoplasm_RadialDistribution_RadialCV_ER_2of4,0,0,0,0,0
Cytoplasm_RadialDistribution_RadialCV_ER_3of4,0,0,0,0,0
Cytoplasm_RadialDistribution_RadialCV_ER_4of4,0,0,1,0,0
Cytoplasm_RadialDistribution_RadialCV_Mito_1of4,0,0,0,0,0
Cytoplasm_RadialDistribution_RadialCV_Mito_2of4,0,0,1,0,0
Cytoplasm_RadialDistribution_RadialCV_Mito_3of4,0,0,1,0,0
Cytoplasm_RadialDistribution_RadialCV_Mito_4of4,1,1,1,1,1
Cytoplasm_RadialDistribution_RadialCV_RNA_1of4,0,0,0,0,0
Cytoplasm_RadialDistribution_RadialCV_RNA_2of4,0,0,1,0,0
Cytoplasm_RadialDistribution_RadialCV_RNA_3of4,0,0,0,0,0
Cytoplasm_RadialDistribution_RadialCV_RNA_4of4,0,1,0,1,1
Cytoplasm_Texture_AngularSecondMoment_AGP_10_0,0,0,0,0,0
Cytoplasm_Texture_AngularSecondMoment_AGP_20_0,1,1,1,1,1
Cytoplasm_Texture_AngularSecondMoment_AGP_5_0,0,0,0,0,0
Cytoplasm_Texture_AngularSecondMoment_DNA_10_0,0,0,0,0,0
Cytoplasm_Texture_AngularSecondMoment_DNA_20_0,1,1,1,1,1
Cytoplasm_Texture_AngularSecondMoment_DNA_5_0,0,0,0,0,0
Cytoplasm_Texture_AngularSecondMoment_ER_10_0,0,0,0,0,0
Cytoplasm_Texture_AngularSecondMoment_ER_20_0,1,1,1,1,1
Cytoplasm_Texture_AngularSecondMoment_ER_5_0,0,0,0,0,0
Cytoplasm_Texture_AngularSecondMoment_Mito_10_0,0,0,0,0,0
Cytoplasm_Texture_AngularSecondMoment_Mito_20_0,0,0,1,0,0
Cytoplasm_Texture_AngularSecondMoment_Mito_5_0,0,0,0,0,0
Cytoplasm_Texture_AngularSecondMoment_RNA_10_0,0,0,0,0,0
Cytoplasm_Texture_AngularSecondMoment_RNA_20_0,1,1,1,1,1
Cytoplasm_Texture_AngularSecondMoment_RNA_5_0,0,0,0,0,0
Cytoplasm_Texture_Contrast_AGP_10_0,0,0,0,0,0
Cytoplasm_Texture_Contrast_AGP_20_0,0,0,0,0,0
Cytoplasm_Texture_Contrast_AGP_5_0,0,0,0,0,0
Cytoplasm_Texture_Contrast_DNA_10_0,0,0,0,0,0
Cytoplasm_Texture_Contrast_DNA_20_0,0,0,0,0,0
Cytoplasm_Texture_Contrast_DNA_5_0,0,0,0,0,0
Cytoplasm_Texture_Contrast_ER_10_0,0,0,0,0,0
Cytoplasm_Texture_Contrast_ER_20_0,0,0,0,0,0
Cytoplasm_Texture_Contrast_ER_5_0,0,0,0,0,0
Cytoplasm_Texture_Contrast_Mito_10_0,0,0,0,0,0
Cytoplasm_Texture_Contrast_Mito_20_0,0,0,0,1,0
Cytoplasm_Texture_Contrast_Mito_5_0,0,0,0,0,0
Cytoplasm_Texture_Contrast_RNA_10_0,0,0,0,0,0
Cytoplasm_Texture_Contrast_RNA_20_0,0,0,0,0,0
Cytoplasm_Texture_Contrast_RNA_5_0,0,0,0,0,0
Cytoplasm_Texture_Correlation_AGP_10_0,0,0,0,0,0
Cytoplasm_Texture_Correlation_AGP_20_0,0,1,1,1,1
Cytoplasm_Texture_Correlation_AGP_5_0,1,1,1,1,1
Cytoplasm_Texture_Correlation_DNA_10_0,0,0,0,0,0
Cytoplasm_Texture_Correlation_DNA_20_0,0,0,0,0,0
Cytoplasm_Texture_Correlation_DNA_5_0,0,0,0,0,0
Cytoplasm_Texture_Correlation_ER_10_0,0,0,0,0,0
Cytoplasm_Texture_Correlation_ER_20_0,1,1,0,1,0
Cytoplasm_Texture_Correlation_ER_5_0,0,0,0,0,0
Cytoplasm_Texture_Correlation_Mito_10_0,0,0,0,0,0
Cytoplasm_Texture_Correlation_Mito_20_0,0,1,0,0,0
Cytoplasm_Texture_Correlation_Mito_5_0,1,0,1,1,0
Cytoplasm_Texture_Correlation_RNA_10_0,0,0,0,0,0
Cytoplasm_Texture_Correlation_RNA_20_0,0,0,0,0,0
Cytoplasm_Texture_Correlation_RNA_5_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceEntropy_AGP_10_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceEntropy_AGP_20_0,0,1,0,1,0
Cytoplasm_Texture_DifferenceEntropy_AGP_5_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceEntropy_DNA_10_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceEntropy_DNA_20_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceEntropy_DNA_5_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceEntropy_ER_10_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceEntropy_ER_20_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceEntropy_ER_5_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceEntropy_Mito_10_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceEntropy_Mito_20_0,1,1,0,1,0
Cytoplasm_Texture_DifferenceEntropy_Mito_5_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceEntropy_RNA_10_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceEntropy_RNA_20_0,1,0,0,1,1
Cytoplasm_Texture_DifferenceEntropy_RNA_5_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceVariance_AGP_10_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceVariance_AGP_20_0,1,1,1,1,1
Cytoplasm_Texture_DifferenceVariance_AGP_5_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceVariance_DNA_10_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceVariance_DNA_20_0,1,1,0,1,1
Cytoplasm_Texture_DifferenceVariance_DNA_5_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceVariance_ER_10_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceVariance_ER_20_0,1,1,1,1,1
Cytoplasm_Texture_DifferenceVariance_ER_5_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceVariance_Mito_10_0,0,0,0,1,0
Cytoplasm_Texture_DifferenceVariance_Mito_20_0,1,1,1,1,1
Cytoplasm_Texture_DifferenceVariance_Mito_5_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceVariance_RNA_10_0,0,0,0,0,0
Cytoplasm_Texture_DifferenceVariance_RNA_20_0,0,1,1,0,0
Cytoplasm_Texture_DifferenceVariance_RNA_5_0,0,0,0,0,0
Cytoplasm_Texture_Entropy_AGP_10_0,0,0,0,0,0
Cytoplasm_Texture_Entropy_AGP_20_0,0,0,0,0,0
Cytoplasm_Texture_Entropy_AGP_5_0,0,0,0,0,0
Cytoplasm_Texture_Entropy_DNA_10_0,0,0,0,0,0
Cytoplasm_Texture_Entropy_DNA_20_0,0,0,0,0,0
Cytoplasm_Texture_Entropy_DNA_5_0,0,0,0,0,0
Cytoplasm_Texture_Entropy_ER_10_0,0,0,0,0,0
Cytoplasm_Texture_Entropy_ER_20_0,0,0,0,0,0
Cytoplasm_Texture_Entropy_ER_5_0,0,0,0,0,0
Cytoplasm_Texture_Entropy_Mito_10_0,0,0,0,0,0
Cytoplasm_Texture_Entropy_Mito_20_0,0,0,0,0,0
Cytoplasm_Texture_Entropy_Mito_5_0,0,0,0,0,0
Cytoplasm_Texture_Entropy_RNA_10_0,0,0,0,0,0
Cytoplasm_Texture_Entropy_RNA_20_0,0,0,0,0,0
Cytoplasm_Texture_Entropy_RNA_5_0,0,0,0,0,0
Cytoplasm_Texture_Gabor_AGP_10,0,0,0,0,0
Cytoplasm_Texture_Gabor_AGP_20,0,0,0,0,0
Cytoplasm_Texture_Gabor_AGP_5,0,0,1,0,0
Cytoplasm_Texture_Gabor_DNA_10,0,0,0,0,0
Cytoplasm_Texture_Gabor_DNA_20,0,0,0,0,0
Cytoplasm_Texture_Gabor_DNA_5,0,0,0,0,0
Cytoplasm_Texture_Gabor_ER_10,0,0,0,0,0
Cytoplasm_Texture_Gabor_ER_20,0,0,0,0,0
Cytoplasm_Texture_Gabor_ER_5,0,0,0,0,0
Cytoplasm_Texture_Gabor_Mito_10,0,0,1,0,0
Cytoplasm_Texture_Gabor_Mito_20,1,1,0,1,1
Cytoplasm_Texture_Gabor_Mito_5,0,0,1,0,0
Cytoplasm_Texture_Gabor_RNA_10,0,0,0,0,0
Cytoplasm_Texture_Gabor_RNA_20,0,0,0,0,0
Cytoplasm_Texture_Gabor_RNA_5,0,0,0,0,0
Cytoplasm_Texture_InfoMeas1_AGP_10_0,1,1,1,1,1
Cytoplasm_Texture_InfoMeas1_AGP_20_0,1,1,1,1,1
Cytoplasm_Texture_InfoMeas1_AGP_5_0,0,0,0,0,0
Cytoplasm_Texture_InfoMeas1_DNA_10_0,0,0,0,0,0
Cytoplasm_Texture_InfoMeas1_DNA_20_0,0,0,0,0,0
Cytoplasm_Texture_InfoMeas1_DNA_5_0,0,0,0,0,0
Cytoplasm_Texture_InfoMeas1_ER_10_0,1,0,1,0,0
Cytoplasm_Texture_InfoMeas1_ER_20_0,1,1,1,1,1
Cytoplasm_Texture_InfoMeas1_ER_5_0,0,0,0,0,0
Cytoplasm_Texture_InfoMeas1_Mito_10_0,1,1,0,1,1
Cytoplasm_Texture_InfoMeas1_Mito_20_0,1,1,0,1,1
Cytoplasm_Texture_InfoMeas1_Mito_5_0,0,0,1,0,0
Cytoplasm_Texture_InfoMeas1_RNA_10_0,0,1,0,1,1
Cytoplasm_Texture_InfoMeas1_RNA_20_0,1,1,1,1,1
Cytoplasm_Texture_InfoMeas1_RNA_5_0,0,0,0,0,0
Cytoplasm_Texture_InfoMeas2_AGP_10_0,1,1,1,1,1
Cytoplasm_Texture_InfoMeas2_AGP_20_0,1,1,0,1,1
Cytoplasm_Texture_InfoMeas2_AGP_5_0,0,0,0,0,0
Cytoplasm_Texture_InfoMeas2_DNA_10_0,0,0,0,0,0
Cytoplasm_Texture_InfoMeas2_DNA_20_0,0,0,0,0,0
Cytoplasm_Texture_InfoMeas2_DNA_5_0,0,0,0,0,0
Cytoplasm_Texture_InfoMeas2_ER_10_0,1,0,0,1,1
Cytoplasm_Texture_InfoMeas2_ER_20_0,0,1,1,1,1
Cytoplasm_Texture_InfoMeas2_ER_5_0,0,0,0,0,0
Cytoplasm_Texture_InfoMeas2_Mito_10_0,0,0,0,0,0
Cytoplasm_Texture_InfoMeas2_Mito_20_0,0,0,0,0,0
Cytoplasm_Texture_InfoMeas2_Mito_5_0,0,0,0,0,1
Cytoplasm_Texture_InfoMeas2_RNA_10_0,0,0,0,0,0
Cytoplasm_Texture_InfoMeas2_RNA_20_0,1,1,1,1,1
Cytoplasm_Texture_InfoMeas2_RNA_5_0,0,0,0,0,0
Cytoplasm_Texture_InverseDifferenceMoment_AGP_10_0,0,0,0,0,0
Cytoplasm_Texture_InverseDifferenceMoment_AGP_20_0,0,0,0,0,0
Cytoplasm_Texture_InverseDifferenceMoment_AGP_5_0,0,0,0,0,0
Cytoplasm_Texture_InverseDifferenceMoment_DNA_10_0,0,0,0,0,0
Cytoplasm_Texture_InverseDifferenceMoment_DNA_20_0,0,0,0,0,0
Cytoplasm_Texture_InverseDifferenceMoment_DNA_5_0,0,0,0,0,0
Cytoplasm_Texture_InverseDifferenceMoment_ER_10_0,0,0,0,0,0
Cytoplasm_Texture_InverseDifferenceMoment_ER_20_0,0,0,0,0,0
Cytoplasm_Texture_InverseDifferenceMoment_ER_5_0,0,0,0,0,0
Cytoplasm_Texture_InverseDifferenceMoment_Mito_10_0,0,0,0,0,0
Cytoplasm_Texture_InverseDifferenceMoment_Mito_20_0,1,1,0,1,1
Cytoplasm_Texture_InverseDifferenceMoment_Mito_5_0,0,0,0,1,0
Cytoplasm_Texture_InverseDifferenceMoment_RNA_10_0,0,0,0,0,0
Cytoplasm_Texture_InverseDifferenceMoment_RNA_20_0,1,1,1,1,1
Cytoplasm_Texture_InverseDifferenceMoment_RNA_5_0,0,0,0,0,0
Cytoplasm_Texture_SumAverage_AGP_10_0,0,0,0,0,0
Cytoplasm_Texture_SumAverage_AGP_20_0,0,0,0,0,0
Cytoplasm_Texture_SumAverage_AGP_5_0,0,0,0,0,0
Cytoplasm_Texture_SumAverage_DNA_10_0,0,0,0,0,0
Cytoplasm_Texture_SumAverage_DNA_20_0,0,0,0,0,0
Cytoplasm_Texture_SumAverage_DNA_5_0,0,0,0,0,0
Cytoplasm_Texture_SumAverage_ER_10_0,0,0,0,0,0
Cytoplasm_Texture_SumAverage_ER_20_0,0,0,0,0,0
Cytoplasm_Texture_SumAverage_ER_5_0,0,0,0,0,0
Cytoplasm_Texture_SumAverage_Mito_10_0,0,0,0,0,0
Cytoplasm_Texture_SumAverage_Mito_20_0,0,0,0,0,0
Cytoplasm_Texture_SumAverage_Mito_5_0,0,0,0,0,0
Cytoplasm_Texture_SumAverage_RNA_10_0,0,0,0,0,0
Cytoplasm_Texture_SumAverage_RNA_20_0,0,0,0,0,0
Cytoplasm_Texture_SumAverage_RNA_5_0,0,0,0,0,0
Cytoplasm_Texture_SumEntropy_AGP_10_0,0,0,0,0,0
Cytoplasm_Texture_SumEntropy_AGP_20_0,1,0,1,0,1
Cytoplasm_Texture_SumEntropy_AGP_5_0,0,0,0,0,0
Cytoplasm_Texture_SumEntropy_DNA_10_0,0,0,0,0,0
Cytoplasm_Texture_SumEntropy_DNA_20_0,0,0,0,0,0
Cytoplasm_Texture_SumEntropy_DNA_5_0,0,0,0,0,0
Cytoplasm_Texture_SumEntropy_ER_10_0,0,0,0,0,0
Cytoplasm_Texture_SumEntropy_ER_20_0,1,1,0,1,1
Cytoplasm_Texture_SumEntropy_ER_5_0,0,0,0,0,0
Cytoplasm_Texture_SumEntropy_Mito_10_0,0,0,0,0,0
Cytoplasm_Texture_SumEntropy_Mito_20_0,1,1,0,1,1
Cytoplasm_Texture_SumEntropy_Mito_5_0,0,0,0,0,0
Cytoplasm_Texture_SumEntropy_RNA_10_0,0,0,0,0,0
Cytoplasm_Texture_SumEntropy_RNA_20_0,0,0,0,0,0
Cytoplasm_Texture_SumEntropy_RNA_5_0,0,0,0,0,0
Cytoplasm_Texture_SumVariance_AGP_10_0,0,0,0,0,0
Cytoplasm_Texture_SumVariance_AGP_20_0,0,1,0,0,0
Cytoplasm_Texture_SumVariance_AGP_5_0,0,0,0,0,0
Cytoplasm_Texture_SumVariance_DNA_10_0,0,0,0,0,0
Cytoplasm_Texture_SumVariance_DNA_20_0,0,0,0,0,0
Cytoplasm_Texture_SumVariance_DNA_5_0,0,0,0,0,0
Cytoplasm_Texture_SumVariance_ER_10_0,0,0,0,0,0
Cytoplasm_Texture_SumVariance_ER_20_0,1,1,1,1,1
Cytoplasm_Texture_SumVariance_ER_5_0,0,0,0,0,0
Cytoplasm_Texture_SumVariance_Mito_10_0,0,0,0,0,0
Cytoplasm_Texture_SumVariance_Mito_20_0,1,1,0,1,1
Cytoplasm_Texture_SumVariance_Mito_5_0,0,0,0,0,0
Cytoplasm_Texture_SumVariance_RNA_10_0,0,0,0,0,0
Cytoplasm_Texture_SumVariance_RNA_20_0,1,1,1,1,1
Cytoplasm_Texture_SumVariance_RNA_5_0,0,0,0,0,0
Cytoplasm_Texture_Variance_AGP_10_0,0,0,0,0,0
Cytoplasm_Texture_Variance_AGP_20_0,1,1,1,1,1
Cytoplasm_Texture_Variance_AGP_5_0,0,0,0,0,0
Cytoplasm_Texture_Variance_DNA_10_0,0,0,0,0,0
Cytoplasm_Texture_Variance_DNA_20_0,0,0,0,0,0
Cytoplasm_Texture_Variance_DNA_5_0,0,0,0,0,0
Cytoplasm_Texture_Variance_ER_10_0,0,0,0,0,0
Cytoplasm_Texture_Variance_ER_20_0,1,1,1,1,1
Cytoplasm_Texture_Variance_ER_5_0,0,0,0,0,0
Cytoplasm_Texture_Variance_Mito_10_0,0,0,0,0,0
Cytoplasm_Texture_Variance_Mito_20_0,1,1,1,1,1
Cytoplasm_Texture_Variance_Mito_5_0,0,0,0,0,0
Cytoplasm_Texture_Variance_RNA_10_0,0,0,0,0,0
Cytoplasm_Texture_Variance_RNA_20_0,0,0,0,0,0
Cytoplasm_Texture_Variance_RNA_5_0,0,0,0,0,0
Nuclei_AreaShape_Area,0,0,0,0,0
Nuclei_AreaShape_Center_X,0,0,0,0,0
Nuclei_AreaShape_Center_Y,0,0,0,0,0
Nuclei_AreaShape_Compactness,0,0,0,0,0
Nuclei_AreaShape_Eccentricity,1,1,1,1,1
Nuclei_AreaShape_EulerNumber,0,0,0,0,0
Nuclei_AreaShape_Extent,1,1,1,1,1
Nuclei_AreaShape_FormFactor,1,1,0,1,1
Nuclei_AreaShape_MajorAxisLength,0,0,0,0,0
Nuclei_AreaShape_MaxFeretDiameter,0,0,0,0,0
Nuclei_AreaShape_MaximumRadius,0,0,0,0,0
Nuclei_AreaShape_MeanRadius,0,0,0,0,0
Nuclei_AreaShape_MedianRadius,0,0,0,0,0
Nuclei_AreaShape_MinFeretDiameter,0,0,0,0,0
Nuclei_AreaShape_MinorAxisLength,0,0,0,0,0
Nuclei_AreaShape_Orientation,1,1,1,1,1
Nuclei_AreaShape_Perimeter,0,0,0,0,0
Nuclei_AreaShape_Solidity,0,0,0,0,0
Nuclei_AreaShape_Zernike_0_0,1,1,0,1,1
Nuclei_AreaShape_Zernike_1_1,1,1,1,1,1
Nuclei_AreaShape_Zernike_2_0,1,1,1,1,1
Nuclei_AreaShape_Zernike_2_2,0,0,0,0,0
Nuclei_AreaShape_Zernike_3_1,1,1,1,1,1
Nuclei_AreaShape_Zernike_3_3,1,1,1,1,1
Nuclei_AreaShape_Zernike_4_0,1,1,1,1,1
Nuclei_AreaShape_Zernike_4_2,1,1,1,1,1
Nuclei_AreaShape_Zernike_4_4,1,1,1,1,1
Nuclei_AreaShape_Zernike_5_1,1,1,1,1,1
Nuclei_AreaShape_Zernike_5_3,1,1,1,1,1
Nuclei_AreaShape_Zernike_5_5,1,1,1,1,1
Nuclei_AreaShape_Zernike_6_0,1,1,1,1,1
Nuclei_AreaShape_Zernike_6_2,1,1,1,1,1
Nuclei_AreaShape_Zernike_6_4,1,1,1,1,1
Nuclei_AreaShape_Zernike_6_6,1,1,1,1,1
Nuclei_AreaShape_Zernike_7_1,1,1,1,1,1
Nuclei_AreaShape_Zernike_7_3,1,1,1,1,1
Nuclei_AreaShape_Zernike_7_5,1,1,1,1,1
Nuclei_AreaShape_Zernike_7_7,1,1,1,1,1
Nuclei_AreaShape_Zernike_8_0,1,1,1,1,1
Nuclei_AreaShape_Zernike_8_2,1,1,1,1,1
Nuclei_AreaShape_Zernike_8_4,1,1,1,1,1
Nuclei_AreaShape_Zernike_8_6,1,1,1,1,1
Nuclei_AreaShape_Zernike_8_8,1,1,1,1,1
Nuclei_AreaShape_Zernike_9_1,1,1,1,1,1
Nuclei_AreaShape_Zernike_9_3,1,1,1,1,1
Nuclei_AreaShape_Zernike_9_5,1,1,1,1,1
Nuclei_AreaShape_Zernike_9_7,1,1,1,1,1
Nuclei_AreaShape_Zernike_9_9,1,1,1,1,1
Nuclei_Children_Cells_Count,0,0,0,0,0
Nuclei_Children_Cytoplasm_Count,0,0,0,0,0
Nuclei_Correlation_Correlation_DNA_AGP,1,1,1,1,1
Nuclei_Correlation_Correlation_DNA_ER,1,1,1,0,1
Nuclei_Correlation_Correlation_DNA_Mito,1,1,1,1,1
Nuclei_Correlation_Correlation_DNA_RNA,1,1,1,1,1
Nuclei_Correlation_Correlation_ER_AGP,1,1,1,1,1
Nuclei_Correlation_Correlation_ER_RNA,1,1,0,1,1
Nuclei_Correlation_Correlation_Mito_AGP,1,1,1,1,1
Nuclei_Correlation_Correlation_Mito_ER,1,1,1,1,1
Nuclei_Correlation_Correlation_Mito_RNA,0,0,1,0,0
Nuclei_Correlation_Correlation_RNA_AGP,1,1,1,1,1
Nuclei_Correlation_Costes_AGP_DNA,0,0,0,0,0
Nuclei_Correlation_Costes_AGP_ER,0,0,0,0,0
Nuclei_Correlation_Costes_AGP_Mito,0,0,0,0,0
Nuclei_Correlation_Costes_AGP_RNA,0,0,0,0,0
Nuclei_Correlation_Costes_DNA_AGP,0,0,0,0,0
Nuclei_Correlation_Costes_DNA_ER,0,0,0,0,0
Nuclei_Correlation_Costes_DNA_Mito,0,0,0,0,0
Nuclei_Correlation_Costes_DNA_RNA,0,0,0,0,0
Nuclei_Correlation_Costes_ER_AGP,0,0,0,0,0
Nuclei_Correlation_Costes_ER_DNA,0,0,0,0,0
Nuclei_Correlation_Costes_ER_Mito,0,0,0,0,0
Nuclei_Correlation_Costes_ER_RNA,0,0,0,0,0
Nuclei_Correlation_Costes_Mito_AGP,0,0,0,0,0
Nuclei_Correlation_Costes_Mito_DNA,0,0,0,0,0
Nuclei_Correlation_Costes_Mito_ER,0,0,0,0,0
Nuclei_Correlation_Costes_Mito_RNA,0,0,0,0,0
Nuclei_Correlation_Costes_RNA_AGP,0,0,0,0,0
Nuclei_Correlation_Costes_RNA_DNA,0,0,0,0,0
Nuclei_Correlation_Costes_RNA_ER,0,0,0,0,0
Nuclei_Correlation_Costes_RNA_Mito,0,0,0,0,0
Nuclei_Correlation_K_AGP_DNA,0,0,1,0,0
